Name,Location
Bitcoin Share List,bitcoinshare.html
Bounty,bounty_xx.csv
Business Bounty,http://devticker.pw/business_bounty/business_bounty_xx.csv
Devcoin Share List,devcoinshare.html
Devtome Earnings,devtome_earnings_xx.csv
Marketing Earnings,marketing_earnings_xx.csv
Rating Earnings,rating_earnings_xx.csv
