Dalamar96,1BXH2Xida1orS5GpXdniMrwZFbi5iznM92,5-Rating Comments(http://devtome.com/doku.php?id=rating_dalamar96_41)
Fheenix,1JvdsgxiJQYAJSE4Tjs3BWbXZk6Kw9mxnB,5-Rating Comments(http://devtome.com/doku.php?id=rating_fheenix_41)
Hunterbunter,1LHVxAkzcN8BzSdrT7J2W3CCpiz5Rgj72E,10-Rating Comments(http://devtome.com/doku.php?id=rating_hunterbunter_41)(+5 for being the leader)
Papacrusher,13mtCyZTnMJRJw9nt7xqbiGU7tXrvkeAJB,5-Rating Comments(http://devtome.com/doku.php?id=rating_papacrusher_41)
Penguinwriter,1LNL1Zrg5h2z8m9c48fgdMx2uXmN3S5Kch,5-Rating Comments(http://devtome.com/doku.php?id=rating_penguinwriter_41)
Raptorak,1ASdsZ1JUwtVXDfYBx7MRNMeHQ8J51pSRw,5-Rating Comments(http://devtome.com/doku.php?id=rating_raptorak_41)
Wiser,1LpoMowMPEVWk2LaJUdAUNaK7gBDRA1r7F,5-Rating Comments(http://devtome.com/doku.php?id=rating_wiser_41)
