Name,Coin Address,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Cumulative Payout,Proportion,Previous Cumulative Payout,Payout
Atruk,1x1yenCV3GxoiGPjpE1iykCH9kcmS8fsr,0,0,0,18674,18674,18674,19,0.0144666497783,19,0
Balthozar,1kFhM8vtEzbZ43Z5wcadPvNrb4xFXbgze,0,0,0,10756,10756,10756,11,0.00833261674069,4,7
Barnacle_Ed,1G2SGLjNvrhZPZfEeqnmFtK16mddroKArw,0,0,0,36853,36853,36853,37,0.0285498256549,3,34
CryptoAddicto,1DnUdPN8k4djtdBNTouQxEJd5DQqZMt5Z5,5361,1608,0,40691,46052,42299,42,0.0327688132684,25,17
FinShaggy,1mZW6zRuz5wRrCijYgEnJWcncBiqRyFPN,0,0,0,70622,70622,70622,71,0.0547104926981,62,9
FuzzyBear,18xskifRMWUtMzbHSzQi7rEWF5upmktgF2,0,0,0,18591,18591,18591,19,0.014402350114,17,2
IanBerble,1P6NSPXyGxPsetEE1qjWnvpPyZk3qnNboR,0,0,0,1078,1078,1078,1,0.000835120941471,1,0
Ibrennan,14TM5MS9J3TZF2ZmAW91kCxVUHxeWTtLji,0,0,0,1004,1004,1004,1,0.000777793529904,1,0
Jackjack,19QkqAza7BHFTuoz9N8UQkryP4E9jHo4N3,0,0,0,1095,1095,1095,1,0.000848290752236,1,0
Jdean1,1AKHyiMrE5e648KYdvzHDcJcf8QBPjSnXR,0,0,0,2567,2567,2567,3,0.00198864142556,2,1
Knotwork,121Pb2BBrU7C61vBdWCKVuFFmaEZr6xFAX,0,0,5,52687,52687,52737,53,0.0408550770783,52,1
Kumala,1Fmz2cba6x2ZZqEdD4DyWPV6hYFuEGe2rW,0,0,0,2192,2192,2192,2,0.00169813089397,2,0
Marticps,12UVr7jmrEitXQfzDPXAQ7etiVaa21p4iT,1133,339,0,1062,2195,1401,1,0.00108534734601,1,0
Metazilla,1CJSRunQtPQsiZRK7vznyeCfyDTb2kxGA8,0,0,0,14807,14807,14807,15,0.0114709051766,9,6
Mosinnagant,1MWgsbq9464j7RF8WFdJzV72ZKpCxceNfW,0,0,0,31081,31081,31081,31,0.0240782875527,13,18
Operaficionado,19FLaursDZbNyB7Fvj4wjKXYcX8GrZkkGr,0,0,0,28951,28951,28951,29,0.0224281877333,9,20
Pepegom,1DHAQVz32aMV85AazVHEz8ryeYAArV5pTc,0,0,0,2119,2119,2119,2,0.00164157817716,1,1
Python,1DTdNS3EksVgYAs7yykVA1eifjEHNqsqaY,535,160,0,2511,3046,2671,3,0.00206920967966,2,1
Serena,1Hq7gyvgYCnusxcvosmSy26jXXSudnsgwg,0,0,0,31339,31339,31339,31,0.0242781587985,31,0
