Barnacle_Ed,1G2SGLjNvrhZPZfEeqnmFtK16mddroKArw,1/5-Marketing Fraction(http://devtome.com/doku.php?id=wiki:user:Barnacle_Ed&do=edit)
FuzzyBear,18xskifRMWUtMzbHSzQi7rEWF5upmktgF2,1-Marketing Integer(http://devtome.com/doku.php?id=wiki:user:FuzzyBear&do=edit)
4/5-Marketing Fraction(http://devtome.com/doku.php?id=wiki:user:FuzzyBear&do=edit)
Jasinlee,1Ahu957fXXwhJ5LqmpxMFHVWwSQ7h4PkXb,2-Marketing Integer(http://devtome.com/doku.php?id=wiki:user:Jasinlee&do=edit)
4/5-Marketing Fraction(http://devtome.com/doku.php?id=wiki:user:Jasinlee&do=edit)
Knotwork,121Pb2BBrU7C61vBdWCKVuFFmaEZr6xFAX,3/5-Marketing Fraction(http://devtome.com/doku.php?id=wiki:user:Knotwork&do=edit)
Unthinkingbit,17vec4jQGCzMEsTnivizHPaowE715tu2CB,3/5-Marketing Fraction(http://devtome.com/doku.php?id=wiki:user:Unthinkingbit&do=edit)
Xchrix,1PKRpafpxse7kGByFzqA4EzGusDwamR1em,3/5-Marketing Fraction(http://devtome.com/doku.php?id=wiki:user:Xchrix&do=edit)
