Name,Coin Address,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Cumulative Payout,Proportion,Previous Cumulative Payout,Payout,Unique Page Views,Normalized Root Worth,Bounded Earnings Multiplier,Earnings
Hellinoos,1GnJic1ATC7R7cbzBR6Q7Yqziv7bwj8aQY,0,0,0,15130,15130,15130,15,0.00429206951507,15,0,3,0.314558779453,0.0,0
Hemingway,1Mrin7GnKsBPJ78mqZiChKzNtY5WC84WFZ,0,0,0,25020,25020,25020,25,0.00709765890728,25,0,25,0.706133798806,0.0,0
IanBerble,1P6NSPXyGxPsetEE1qjWnvpPyZk3qnNboR,0,0,0,1078,1078,1078,1,0.000305806406956,1,0,0,0.0,0.0,0
Ibrennan,14TM5MS9J3TZF2ZmAW91kCxVUHxeWTtLji,0,0,0,1004,1004,1004,1,0.000284814130412,1,0,0,0.0,0.0,0
Icoin,18HfzUZXGA3FZ1BM8abEmjBT9Wg52qQ4Sr,0,0,0,634,634,634,0,0.00017985274769,0,0,0,0.0,0.0,0
Imatt1990,17czLaECADux6yASXbxLLPqvnTSc9sD2PN,0,0,0,3821,3821,3821,4,0.00108393903616,4,0,0,0.0,0.0,0
Infoporter,1EyUQD2gwHExXnJKSkhGeQsGwAPUuVvwcE,0,0,0,1334,1334,1334,1,0.000378428336623,0,1,4,1.72992679824,1.04065908956,1
Jackjack,19QkqAza7BHFTuoz9N8UQkryP4E9jHo4N3,0,0,0,1095,1095,1095,1,0.000310628956973,1,0,157,8.4586959474,0.0,0
JackRussell,1CcWpm9HSqZwE96H3SeB7V1QGUhGHfxJh,0,0,1,15696,15696,15706,16,0.00445546885682,16,0,20,0.797155136686,0.0,0
Jasinlee,1Ahu957fXXwhJ5LqmpxMFHVWwSQ7h4PkXb
Jdean1,1AKHyiMrE5e648KYdvzHDcJcf8QBPjSnXR,0,0,0,2567,2567,2567,3,0.000728205052557,3,0,7,1.16653220572,0.0,0
Jessiewaterfield,1BjvzSbfC2MhAVG2xvhkjuXZxApB8CgCnn,0,0,0,9470,9470,9470,9,0.00268644403885,9,0,16,0.918217677404,0.0,0
Jungle_dave,14itNE5APTMtXzNZteDeZNkNH2AUJQY1Zh,0,0,0,1775,1775,1775,2,0.000503530957651,2,0,0,0.0,0.0,0
Kickaha4,12RuaN5UvZYkMn4BiiS4mMoffe3mgjzZMU,0,0,0,8512,8512,8512,9,0.00241467916142,3,6,33,1.39091890547,0.836724654073,5
Knotwork,121Pb2BBrU7C61vBdWCKVuFFmaEZr6xFAX,0,0,0,57088,57088,57088,57,0.0161946903157,55,2,277,1.5560663745,0.936071178408,2
Kumala,1Fmz2cba6x2ZZqEdD4DyWPV6hYFuEGe2rW,0,0,0,2192,2192,2192,2,0.000621825272772,2,0,0,0.0,0.0,0
Lawyer,13B9eDYgwTdhfWHgQXYT8EWNpL3uV4Ffie,0,0,0,76832,76832,76832,77,0.0217956566412,77,0,54,0.5922246206,0.0,0
Leojane,15szdWSCEVAvXVEKsrEtcKNtCfmo69drZ9,0,0,0,1025,1025,1025,1,0.00029077139808,1,0,0,0.0,0.0,0
Mabtc,1NqxTQ7D9w3oukfpYda8GHnXSYxr9xFoQS,0,0,6,71742,71742,71802,72,0.0203687491951,0,72,62,0.92833178306,0.558449588247,40
Maitotoxin,1EZpys8PMP8bZxs2tFTY5T7cimmVMZAxuw,0,0,0,5973,5973,5973,6,0.00169441713242,6,0,10,0.914038292387,0.0,0
Marticps,12UVr7jmrEitXQfzDPXAQ7etiVaa21p4iT,1133,339,13,1062,2195,1531,2,0.000434313180937,2,0,4,1.14183420317,0.0,0
Matt608,1Ks4roXAZj45sXRsWMfGqmAPmDoWZ9TAko,0,0,25,80027,80027,80277,80,0.0227729322182,0,80,454,2.37578975267,1.42918602309,114
Matt2416,19wkReFDngXWYvqrC7g96SD3uuqR5P8ahX,0,0,36,23010,23010,23370,23,0.00662958787622,23,0,56,1.09351641063,0.0,0
Maximilian_Wilhelm,1BroUgeCemQvWeYBekpFyEFGZVqrXnrtQ9,0,0,3,87212,87212,87242,87,0.0247487593281,87,0,17,0.31183316437,0.0,0
Metallicsoul92,1MZbzzaLJfZb6tkwgBbGX5ayeCbQJaYDwc,823,246,0,1672,2495,1918,2,0.000544097113675,2,0,2,0.721358816396,0.0,0
Meta-p02,1Q4wj8JfZNGgRFYrk2bfWvqcqH1Y9YVNn9,0,0,0,2895,2895,2895,3,0.000821251899943,0,3,7,1.55346109589,0.934503940495,3
Metazilla,1CJSRunQtPQsiZRK7vznyeCfyDTb2kxGA8,0,0,4,14807,14807,14847,15,0.00421178824126,15,0,22,0.85990927604,0.0,0
Mistercoin,1PxUC79jXvZRbewCeRLPm9gtUbzWGdC2h8,0,0,0,4565,4565,4565,5,0.00129499651925,5,0,15,1.28051858561,0.0,0
Mosinnagant,17vec4jQGCzMEsTnivizHPaowE715tu2CB,0,0,0,63420,63420,63420,63,0.0179909483573,63,0,5,0.19835014897,0.0,0
Moxy_Jane,184yBE6BY5WRpUvj7pzXjdRaemUByHvgx3,0,0,0,14307,14307,14307,14,0.00405860135837,14,0,2,0.264120041548,0.0,0
Mrc,1EZhgmDXpwppCi7g7mSJkLHJDgtXsyTv6P,0,0,0,1239,1239,1239,1,1.0,0,1,0,0.0,0.5001,1
Nik1ab,1CbZoBeFBEsvVMb3r6sijaAG8djBFhxWwp,0,0,0,1093,1093,1093,1,0.000310061598148,0,1,3,1.65510744369,0.995650571595,1
Odolvlobo,1dmnkVoTBRLvJMSpRGnVMvFR7ygsKz3s4,0,0,0,5889,5889,5889,6,0.00167058806175,6,0,5,0.650915888665,0.0,0
Ondratra,12QHFnbkJEwv8jmmwcXQqLyfTATqpH1eaq,0,0,0,1293,1293,1293,1,0.0003667974807,1,0,2,0.878570027238,0.0,0
Operaficionado,19FLaursDZbNyB7Fvj4wjKXYcX8GrZkkGr,0,0,0,34624,34624,34624,29,0.00982211598743,29,0,17,0.494990072475,0.0,0
Osoverflow,1AzAEfFAcctucZB9H2P5d8TRJQFLWyBJPf,686,205,0,2132,2818,2337,2,0.000662958787622,2,0,5,1.03327588468,0.0,0
Pb321go,1F5uDaCF8ZP6kiLHvDhWsSNPHP6kwt7udi,205181,61554,0,199055,404236,260609,261,0.0739294080802,261,0,76,0.381480847607,0.0,0
Penguinwriter,1LNL1Zrg5h2z8m9c48fgdMx2uXmN3S5Kch,0,0,0,141559,141559,141559,142,0.040157373991,142,0,30,0.325201493923,0.0,0
Pepegom,1DHAQVz32aMV85AazVHEz8ryeYAArV5pTc,0,0,0,2119,2119,2119,2,0.00060111667564,2,0,1,0.48528310229,0.0,0
Physicalartcoin,1CPQPfVT9KLsYWpbBhq7sraL9XyxCJ16yB,0,0,0,1601,1601,1601,2,0.00045417073983,37,0,0,0.0,0.0,0
Prdkojistic,15fLDbRPj14D2wHrgmTDqM1nqQ5keiV2ye,1301,390,0,0,1301,390,0,0.000110634970977,0,0,2,0.0,0.0,0
Psalm,16y9hCqxESscRnBJwJskJpDACH4qUiRpA8,0,0,0,11639,11639,11639,12,0.00330174468512,12,0,19,0.902567339609,0.0,0
Python,1DTdNS3EksVgYAs7yykVA1eifjEHNqsqaY,535,160,1,1290,1825,1460,1,0.000414171942631,1,0,6,1.43205548474,0.0,0
Randomcount,1CBCR1jCnD57yfwMXsUKbMBaMSrKaBUt3z,0,0,0,12079,12079,12079,12,0.00342656362674,12,0,0,0.0,0.0,0
Raptorak,1ASdsZ1JUwtVXDfYBx7MRNMeHQ8J51pSRw,0,0,466,280294,280294,284954,285,0.0808355833839,278,7,3907,2.61574241367,1.4999,10
Redmist,1KmDbkBGYzotq6aVf981H6aN2F5nc1SXdQ,0,0,0,2077,2077,2077,2,0.000589202140304,2,0,4,0.980330230164,0.0,0
Sceeth0,1E1EJnnUP4vEhoAhd7Cotb6n9VwrbeTPY1,0,0,0,9934,9934,9934,0,0.00281807128637,0,0,0,0.0,0.0,0
Serena,1Hq7gyvgYCnusxcvosmSy26jXXSudnsgwg,0,0,0,31339,31339,31339,31,0.00889022911651,31,0,22,0.591874215723,0.0,0
Shakezula,1AyjX2QpTYFnmMFnzD3A2sqosfrrMuKbcz,0,0,63,55955,55955,56585,57,0.0160519995711,69,0,452,1.99654546791,0.0,0
Shortstain,1NNRTWBA5PLVUwHsgCwQ6XTerak59VQCjL,0,0,131,68293,68293,69603,70,0.0197449381664,70,0,38,0.521961495253,0.0,0
Smeagol,16gyrVWagSBN77hGMtQDSJNU3hrPGGRfVq,494,148,31,7799,8293,8257,8,0.00234234091117,4,4,308,4.31444427068,1.4999,6
Stealtheh,1KZBFKD7NpV7ndufLZfKDdQgRz8nfXEBDm,0,0,0,10834,10834,10834,11,0.00307338275785,1,10,40,1.35736369073,0.816539095208,8
Termhn,1HXeAHn3LrCo7Xv6EU1rHsdvoY8nu9RGZL,1054,316,1,6212,7266,6538,7,0.00185469600063,7,0,4,0.552545676711,0.0,0
Thedischarger,1KZKMYixw4PDtu5ZbKqrahRWeAgputuVoc,0,0,3,19031,19031,19061,19,0.00540721328664,2,17,266,2.63893458755,1.4999,25
The_Goat_Master,1KGxe5my4BWjt9CExxPTWBRLVfdfeB6Ery,0,0,12,9442,9442,9562,10,0.00271254254482,10,0,32,1.29229381909,0.0,0
Theokep,1LaHm9wgGW7ZzRNKATkUNPByeLePzdGGgq,0,0,0,5883,5883,5883,6,0.00166888598527,6,0,4,0.582493681962,0.0,0
Tom,15btmQxdDU2ZNDnMUfURmsATjy8iCtZmaF,250,75,0,10093,10343,10168,10,0.00288445226895,10,0,2,0.313298183405,0.0,0
Tosku,1QEMKqsW3y7EgEefSoCR5DLvUvH4xs5zdJ,0,0,0,2435,2435,2435,2,0.000690759370073,2,0,2,0.640215467945,0.0,0
Twobits,13A2e3wX9MVMtP1JMxGFcbd2ZuSeVLe8uZ
Unthinkingbit,17vec4jQGCzMEsTnivizHPaowE715tu2CB,48111,14433,0,113244,161355,127677,128,0.0362193363831,128,0,1276,2.23321044307,0.0,0
Vehementchrome,17WNPSjjBxQF7gkQiFNe1yoZ1DaSgztM7K,0,0,0,58623,58623,58623,59,0.0166301382143,59,0,0,0.0,0.0,0
Veruminnumeris,1KZZaLCMPTh9tiNZ7JDXeZUjr6yPYYwtGD,0,0,0,63816,63816,63816,64,0.0181032854048,64,0,34,0.51562660373,0.0,0
Vilmanoella,14wvMyGUXvJpdW2GbKWCEsMDw5s5Ay2F4r,0,0,0,46915,46915,46915,47,0.0133088196497,47,0,65,0.831498491485,0.0,0
Wardsmith,1SbC9Y3b5eZkYtEd7dbtzD7eP6rtEMfj5,0,0,0,3543,3543,3543,4,0.00100507615941,4,0,6,0.91928610686,0.0,0
Wed,1Jtw6vg7Qj5JWfAU2bV5MDSVv7twy12ycY,0,0,0,1142,1142,1142,1,0.000323961889373,1,0,0,0.0,0.0,0
Weisoq,1Cy9e1Yuwboj63XRkMkT6W6YsGDtYDrsUp,679,203,43,41414,42093,42047,42,0.0119278682684,42,0,47,0.746864933659,0.0,0
WildElf,13pG9etGRXHjWqE8sc4dhheGzaZT5LsuRk,0,0,0,21161,21161,21161,21,0.00600294005343,21,0,20,0.68676404811,0.0,0
Wiser,1LpoMowMPEVWk2LaJUdAUNaK7gBDRA1r7F,0,0,0,129676,129676,129676,130,0.0367864115292,112,18,468,1.34200387956,0.807299208798,15
Wolf,1PrXnipPcdfNxANzxX1MTy6ko4RM8VNukm,0,0,0,3268,3268,3268,3,0.000927064320903,3,0,8,1.10526041811,0.0,0
Xchrix,13Q4drkP51gHsabCUXC5XPEBEUUYurMdvB
Xenophaux,1H5qJrnYG9pPzFZ2zbmKihymnB23ViEbXz,0,0,0,5165,5165,5165,5,0.00146520416691,5,0,5,0.695041100535,0.0,0
Yungbull,1NgSfubWAAYrApH5rAe8RYcfdtQTNbWxbo,0,0,0,22331,22331,22331,22,0.00633484496636,22,0,9,0.448464237896,0.0,0
,Totals,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Cumulative Payout,Proportion,Previous Cumulative Payout,Payout,Unique Page Views,Normalized Root Worth,Bounded Earnings Multiplier,Earnings
,,663046,198907,1167,3314529,3977575,3525106,3510,1.0,3245,388,50733,1.0,1.0090415714,388
,Date
,2013-10-11
