Name,Coin Address,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Cumulative Payout,Proportion,Previous Cumulative Payout,Payout
Acs26,1pK5e7YxixmERU617STiXgiGdnactBQrT,0,0,0,2099,2099,2099,2,0.000977536226822,2,0
Alex0909,1Mgvwf4B1VFWKyT91tYnRVPqpTv4ddrfVT,2270,681,0,75173,77443,75854,76,0.0353263615766,999955,0
Alyssa85,1ERn5JRTm5P47LzhiLCbKtduwj9M3cPE81,0,0,4,9547,9547,9587,10,0.00446481172298,7,3
Ashleysly,1Mdu9MbAEsUm81NzEPQR7GCkUxbG39pWMy,0,0,0,15003,15003,15003,15,0.00698712530301,9,6
Atruk,1x1yenCV3GxoiGPjpE1iykCH9kcmS8fsr,0,0,0,22236,22236,22236,22,0.0103556434205,22,0
Balthozar,1kFhM8vtEzbZ43Z5wcadPvNrb4xFXbgze,0,0,4,10756,10756,10796,11,0.00502786141247,11,0
Barnacle_Ed,16xxKVrtDxTuEJhADUxVmZK94im43RXi45,0,0,0,36760,36760,36760,37,0.0171196911377,37,0
BitcoinAlchemist,1JBmwfJ4HmxTDDYwZY1rC63xR9h8Usqtat,0,0,0,18120,18120,18120,18,0.00843875961411,16,2
Bmlzootown,1Dx6QsUh2BjcYSkFdFtrCRC9Xx5fDJWeHp,0,0,0,1281,1281,1281,1,0.00059658118464,1,0
Boelens,1PZ4yQmyi4JsfhUUHJiNs15gt98MreQXw1,0,0,0,1419,1419,1419,1,0.000660849883688,1,0
CaramelSunshine,14yBc8zcJZh8nhUVx62RBX1n19Nw4pgy2q,0,0,0,3963,3963,3963,4,0.00184562937918,4,0
Ceebizcut,1M5haKYJ8PJ43kHTs6okSBLj5gUhLRQiUJ,0,0,0,31361,31361,31361,31,0.0146052947162,7,24
CryptoAddicto,1DKhy7jj8oB53iGZYrWzDSfcVoKHjsuxaa,5361,1608,0,50701,56062,52309,52,0.0243610969456,41,11
Cryptobyte,1HwxMzbFqZfyE6HaR2D3keJQ1ync1V5UQR,0,0,0,5145,5145,5145,5,0.00239610475798,5,0
Cryptopi,16wwpo6sJeFFWMnSy7ySa62mZLTAWohyP7,0,0,3,46247,46247,46277,46,0.0215519027959,38,8
DeadSea33,1A9qwtctYmYrCKSegy7RrNCUJxuohwFQmD,28726,8617,95,71538,100264,81105,81,0.0377718321469,62,19
Devtome_Writer,17wwzTrWrk1buS9bxEFdgTsvhiyrDakBZe,0,0,0,10248,10248,10248,10,0.00477264947712,10,0
Dexter,18jMxk8jqwvgpx4wT48VAb6jGbYNazz4b7,15517,4655,40,76456,91973,81511,82,0.0379609125224,60,22
Diamondcardz,18q45dAKGakQdPkjrg17NrfdiFGKWULwSJ,0,0,2,2077,2077,2097,2,0.000976604796401,2,0
Eammy,1EPRS5bUm6USqLWZf5faBzZF2dXhHdyfgc,0,0,5,9241,9241,9291,9,0.00432696002068,8,1
Ecafe,17tRggPGbLBVWFBoySALZXTABD2zSe3kEW
Eeharris,1CfWWyDNUeioJc7TBnqDBDyQKJUYwT7S2Z,82678,24803,0,75272,157950,100075,100,0.04660644969,80,20
Emfox,1Emfox1WswYcd2YucUskRzqfRWKkcm1Jut,0,0,0,5518,5518,5518,6,0.00256981653149,6,0
Emilianoz,1EykDePNj9311jvwcUaZczCjNFQ6Ep1zmi,10577,3173,2,11988,22565,15181,15,0.00707002261047,6,9
Eroxors,1GhARG75QssPfXntVLW5wwpqPP6H2fRbmo,0,0,0,1580,1580,1580,2,0.000735830032577,0,2
Estera,14VRNYCwocTSAyPprHnKx12Eim6jDBHYZq,0,0,0,16915,16915,16915,17,0.00787757278547,17,0
Fheenix,1JvdsgxiJQYAJSE4Tjs3BWbXZk6Kw9mxnB,3707,1112,45,129563,133270,131125,131,0.0610669069757,72,59
FinShaggy,1Cz5aivRFToakTozfch7iZXSY2YBwd9qQZ,0,0,23,71195,71195,71425,71,0.0332637089094,71,0
Ftgcoin,1BjhhLoE7mJdy8Mw1mNAgceJ7tP2tPnySF
