Author,All Votes,Median,Raters,Address,Vote,Address,Vote
penguinwriter,90,90.0,alyssa85,http://devtome.com/doku.php?id=rating_alyssa85_27,90
pepegom,92,92.0,smeagol,http://devtome.com/doku.php?id=rating_smeagol_28,92
physicalartcoin,65,65.0,unthinkingbit,http://devtome.com/doku.php?id=rating_unthinkingbit_28,65
prdkojistic,85,85.0,wiser,http://devtome.com/doku.php?id=rating_wiser_28,85
python,99,99.0,raptorak,http://devtome.com/doku.php?id=rating_raptorak_28,99
randomcount,50,50.0,fheenix,http://devtome.com/doku.php?id=rating_fheenix_28,50
raptorak,80,80.0,unthinkingbit,http://devtome.com/doku.php?id=rating_unthinkingbit_28,80
sceeth0,91-80,85.5,alyssa85-smeagol,http://devtome.com/doku.php?id=rating_alyssa85_27,80,http://devtome.com/doku.php?id=rating_smeagol_28,91
serena,99,99.0,raptorak,http://devtome.com/doku.php?id=rating_raptorak_28,99
shakezula,85,85.0,fheenix,http://devtome.com/doku.php?id=rating_fheenix_28,85
shortstain,50,50.0,alyssa85,http://devtome.com/doku.php?id=rating_alyssa85_28,50
stealtheh,80,80.0,alyssa85,http://devtome.com/doku.php?id=rating_alyssa85_28,80
termhn,90,90.0,wiser,http://devtome.com/doku.php?id=rating_wiser_28,90
the_goat_master,90,90.0,wiser,http://devtome.com/doku.php?id=rating_wiser_28,90
thedischarger,50,50.0,smeagol,http://devtome.com/doku.php?id=rating_smeagol_28,50
theokep,70-70,70.0,alyssa85-fheenix,http://devtome.com/doku.php?id=rating_alyssa85_27,70,http://devtome.com/doku.php?id=rating_fheenix_28,70
tom,87,87.0,wiser,http://devtome.com/doku.php?id=rating_wiser_28,87
unthinkingbit,85-95,90.0,alyssa85-wiser,http://devtome.com/doku.php?id=rating_alyssa85_28,85,http://devtome.com/doku.php?id=rating_wiser_28,95
veruminnumeris,65,65.0,wiser,http://devtome.com/doku.php?id=rating_wiser_28,65
vilmanoella,60-60,60.0,alyssa85,http://devtome.com/doku.php?id=rating_alyssa85_27,60,http://devtome.com/doku.php?id=rating_alyssa85_28,60
wardsmith,88,88.0,unthinkingbit,http://devtome.com/doku.php?id=rating_unthinkingbit_28,88
weisoq,95,95.0,smeagol,http://devtome.com/doku.php?id=rating_smeagol_28,95
wildelf,95-90,92.5,unthinkingbit-wiser,http://devtome.com/doku.php?id=rating_unthinkingbit_27,90,http://devtome.com/doku.php?id=rating_wiser_28,95
wolf,89,89.0,smeagol,http://devtome.com/doku.php?id=rating_smeagol_28,89
xenophaux,80,80.0,unthinkingbit,http://devtome.com/doku.php?id=rating_unthinkingbit_28,80
yungbull,80,80.0,unthinkingbit,http://devtome.com/doku.php?id=rating_unthinkingbit_28,80
